eventTime,userIdentity,eventName,sourceIPAddress,risk_score
2023-09-05T11:53:23Z, ,ConsoleLogin,103.123.60.120,0.6
2023-09-05T11:53:04Z, ,ConsoleLogin,103.123.60.120,0.6
2023-09-01T07:31:54Z,AIDATWNGUUKBIFMGB6JBB,ConsoleLogin,205.254.174.107,0.6
2023-08-31T09:27:56Z,AIDATWNGUUKBIFMGB6JBB,ConsoleLogin,205.254.174.107,0.6
2023-08-29T11:48:38Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T11:41:37Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T11:34:38Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T11:26:48Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T11:19:47Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T11:18:58Z,AIDATWNGUUKBIFMGB6JBB,DeleteSession,120.88.35.216,0.8
2023-08-29T11:12:48Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T11:05:49Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:59:23Z,AIDATWNGUUKBIFMGB6JBB,DeleteAccessKey,120.88.35.216,0.8
2023-08-29T10:59:05Z,AIDATWNGUUKBIFMGB6JBB,UpdateAccessKey,120.88.35.216,0.6
2023-08-29T10:53:33Z,AIDATWNGUUKBIFMGB6JBB,CreateAccessKey,16.171.234.189,0.6
2023-08-29T10:58:47Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:58:45Z,AIDATWNGUUKBIFMGB6JBB,CreateSession,120.88.35.216,0.6
2023-08-29T10:55:39Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:58:44Z,AIDATWNGUUKBIFMGB6JBB,CreateEnvironment,120.88.35.216,0.6
2023-08-29T10:58:47Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:58:45Z,AIDATWNGUUKBIFMGB6JBB,DeleteSession,120.88.35.216,0.8
2023-08-29T10:58:44Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:52:32Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:52:29Z,AIDATWNGUUKBIFMGB6JBB,DeleteSession,120.88.35.216,0.8
2023-08-29T10:52:31Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:52:28Z,AIDATWNGUUKBIFMGB6JBB,CreateEnvironment,120.88.35.216,0.6
2023-08-29T10:52:29Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:53:16Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:53:16Z,AIDATWNGUUKBIFMGB6JBB,DeleteSession,120.88.35.216,0.8
2023-08-29T10:53:18Z,AIDATWNGUUKBIFMGB6JBB,DeleteSession,120.88.35.216,0.8
2023-08-29T10:53:18Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:53:16Z,AIDATWNGUUKBIFMGB6JBB,SendHeartBeat,120.88.35.216,0.6
2023-08-29T10:53:17Z,AIDATWNGUUKBIFMGB6JBB,CreateSession,120.88.35.216,0.6
2023-08-29T10:49:29Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:52:30Z,AIDATWNGUUKBIFMGB6JBB,CreateSession,120.88.35.216,0.6
2023-08-29T10:52:30Z,AIDATWNGUUKBIFMGB6JBB,DeleteSession,120.88.35.216,0.8
2023-08-29T10:44:09Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:44:19Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:44:10Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:44:20Z,AIDATWNGUUKBIFMGB6JBB,DeleteSession,120.88.35.216,0.8
2023-08-29T10:44:20Z,AIDATWNGUUKBIFMGB6JBB,CreateSession,120.88.35.216,0.6
2023-08-29T10:44:21Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:44:21Z,AIDATWNGUUKBIFMGB6JBB,SendHeartBeat,120.88.35.216,0.6
2023-08-29T10:47:49Z,AIDATWNGUUKBIFMGB6JBB,SendHeartBeat,120.88.35.216,0.6
2023-08-29T10:48:07Z,AIDATWNGUUKBIFMGB6JBB,UpdateDetector,16.171.234.189,0.6
2023-08-29T10:48:38Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:27:40Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:28:30Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:21:30Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:21:26Z,AIDATWNGUUKBIFMGB6JBB,UpdateLayout,120.88.35.216,0.6
2023-08-29T10:22:11Z,AIDATWNGUUKBIFMGB6JBB,GetRemainingFreeTrialDays,120.88.35.216,0.6
2023-08-29T10:21:30Z,AIDATWNGUUKBIFMGB6JBB,GetRemainingFreeTrialDays,120.88.35.216,0.6
2023-08-29T10:22:15Z,AIDATWNGUUKBIFMGB6JBB,GetRemainingFreeTrialDays,120.88.35.216,0.6
2023-08-29T10:21:30Z,AIDATWNGUUKBIFMGB6JBB,PutCredentials,120.88.35.216,0.6
2023-08-29T10:22:07Z,AIDATWNGUUKBIFMGB6JBB,GetRemainingFreeTrialDays,120.88.35.216,0.6
